Year,Aaron,Abdul,Adam,Adrian,Aidan,Aiden,Alan,Albert,Albie,Alec,Alex,Alexander,Alfie,Alfred,Allan,Andrew,Anthony,Antony,Archibald,Archie,Arlo,Arnold,Arthur,Ashley,Ashton,Austin,Bailey,Barrie,Barry,Basil,Ben,Benjamin,Bernard,Bertie,Bertram,Billy,Blake,Bobby,Bradley,Brandon,Brett,Brian,Bruce,Bryan,Caleb,Callum,Calum,Cameron,Carl,Carter,Cecil,Charles,Charlie,Christian,Christopher,Clarence,Claude,Clifford,Clive,Colin,Connor,Conor,Corey,Craig,Curtis,Cyril,Dale,Damian,Damien,Daniel,Danny,Darren,David,Dean,Declan,Denis,Dennis,Derek,Derrick,Desmond,Dexter,Dominic,Donald,Douglas,Duncan,Dylan,Edgar,Edmund,Edward,Edwin,Elijah,Elliot,Elliott,Ellis,Eric,Ernest,Ethan,Evan,Ewan,Ezra,Felix,Finlay,Finley,Finn,Francis,Frank,Frankie,Fred,Freddie,Frederick,Gabriel,Gareth,Garry,Gary,Gavin,Geoffrey,George,Gerald,Gerard,Gilbert,Glen,Glenn,Gordon,Graeme,Graham,Gregory,Guy,Harley,Harold,Harrison,Harry,Harvey,Hayden,Hector,Henry,Herbert,Horace,Howard,Hubert,Hugh,Hugo,Hunter,Iain,Ian,Ibrahim,Isaac,Ivan,Ivor,Jack,Jackson,Jacob,Jake,James,Jamie,Jason,Jasper,Jaxon,Jay,Jayden,Jeffrey,Jenson,Jeremy,Jesse,Joe,Joel,Joey,John,Jonathan,Jordan,Joseph,Josh,Joshua,Jude,Julian,Justin,Kai,Kane,Karl,Kayden,Keith,Kenneth,Kevin,Kian,Kieran,Kieron,Kyle,Laurence,Lawrence,Lee,Leigh,Leo,Leon,Leonard,Leslie,Lewis,Liam,Lionel,Logan,Louie,Louis,Luca,Lucas,Luke,Macauley,Malcolm,Marc,Marcus,Mark,Martin,Martyn,Mason,Mathew,Matthew,Maurice,Max,Melvyn,Michael,Mitchell,Mohamed,Mohammad,Mohammed,Morgan,Morris,Muhammad,Nathan,Neil,Neville,Nicholas,Nigel,Noah,Noel,Norman,Oliver,Ollie,Oscar,Owen,Patrick,Paul,Percival,Percy,Peter,Philip,Phillip,Ralph,Raymond,Reece,Reggie,Reginald,Reuben,Rhys,Richard,Ricky,Riley,Robert,Robin,Rodney,Roger,Roland,Roman,Ronald,Ronnie,Rory,Ross,Roy,Royston,Russell,Ryan,Sam,Samuel,Scott,Sean,Sebastian,Seth,Shane,Shaun,Sidney,Simon,Sonny,Spencer,Stanley,Stephen,Steven,Stewart,Stuart,Sydney,Taylor,Teddy,Terence,Terry,Theo,Theodore,Thomas,Timothy,Toby,Tom,Tommy,Tony,Trevor,Tyler,Victor,Vincent,Walter,Wayne,Wilfred,William,Zachary,Zak
1996,33,0,16,0,83,0,0,0,0,0,43,14,0,0,0,29,65,0,0,0,0,0,0,40,0,0,0,0,0,0,34,15,0,0,0,71,0,0,31,53,0,0,0,0,0,20,91,42,0,0,0,44,38,90,25,0,0,0,0,0,13,63,0,81,78,0,0,0,0,2,98,0,32,80,84,0,0,0,0,0,0,51,0,0,0,57,0,0,45,0,0,70,88,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,86,17,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,18,4,28,69,0,0,89,0,0,0,0,0,50,75,0,46,39,11,8,94,5,0,0,0,0,99,0,0,0,0,0,0,26,0,37,0,0,64,0,0,0,0,0,24,10,0,0,0,61,0,0,12,95,0,0,85,55,0,0,0,0,6,0,56,0,22,79,0,97,36,0,0,0,27,0,0,52,0,0,0,0,23,0,0,100,66,72,0,0,59,0,0,0,0,41,0,0,0,54,62,0,0,30,0,0,0,0,0,0,0,93,68,0,0,0,7,47,9,48,49,0,0,74,76,0,87,0,0,0,60,73,0,0,0,0,0,0,0,0,0,3,82,77,0,0,0,0,67,0,0,0,0,0,21,96,0
1997,32,0,20,0,82,0,0,0,0,0,43,16,92,0,0,37,68,0,0,0,0,0,0,46,0,0,0,0,0,0,30,13,0,0,0,70,0,0,28,39,0,0,0,0,0,14,94,36,0,0,0,42,40,93,26,0,0,0,0,0,12,64,90,91,85,0,0,0,0,4,0,0,35,99,69,0,0,0,0,0,0,53,0,0,0,52,0,0,44,0,0,61,87,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,79,17,100,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,22,2,31,72,0,0,84,0,0,0,0,0,48,75,0,49,45,10,8,89,5,0,0,0,0,97,0,0,0,0,0,0,27,0,38,0,0,73,0,0,0,0,0,21,15,0,0,0,54,0,0,11,0,0,0,88,63,0,0,0,0,6,0,57,0,23,81,0,86,33,0,0,95,25,0,0,56,0,0,0,0,24,0,0,74,67,76,0,0,65,0,0,0,0,41,0,0,0,55,71,0,0,34,0,0,0,0,0,0,0,98,60,0,0,0,9,47,7,50,51,0,0,77,83,0,0,0,0,0,66,80,0,0,0,0,0,0,0,0,0,3,96,78,0,0,0,0,59,0,0,0,0,0,19,0,0
1998,31,0,21,0,81,0,0,0,0,0,46,19,71,0,0,42,74,0,0,0,0,0,0,54,0,0,0,0,0,0,29,16,0,0,0,68,0,0,33,36,0,0,0,0,0,8,0,28,0,0,0,41,35,93,32,0,0,0,0,0,11,57,98,0,0,0,0,0,0,4,0,0,39,0,85,0,0,0,0,0,0,52,0,0,0,45,0,0,44,0,0,65,90,99,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,72,15,91,0,0,56,0,0,0,0,0,0,0,0,0,0,84,0,0,1,0,27,22,3,34,80,0,0,79,0,0,0,0,0,58,76,0,53,48,10,9,86,5,0,0,0,100,94,0,0,0,0,0,0,26,0,38,0,0,73,0,0,96,0,0,18,24,0,0,0,50,0,0,13,0,0,0,88,69,0,0,0,0,6,0,51,0,23,75,0,83,30,64,0,89,25,0,0,62,0,0,0,0,20,0,0,40,66,78,0,0,67,0,0,0,0,43,0,0,0,55,82,0,0,37,0,0,0,0,0,0,0,0,63,0,0,0,12,49,7,60,61,0,0,95,97,0,0,0,0,0,70,87,0,0,0,0,0,0,0,0,0,2,0,77,92,0,0,0,59,0,0,0,0,0,14,0,0
1999,36,0,21,0,75,0,0,0,0,0,45,20,64,0,0,47,81,0,0,0,0,0,0,68,0,0,0,0,0,0,31,15,0,0,0,71,0,0,33,34,0,0,0,0,0,9,0,24,0,0,0,41,32,0,38,0,0,0,0,0,22,66,0,0,0,0,0,0,0,5,0,0,42,0,73,0,0,0,0,0,0,60,0,0,0,46,0,0,43,0,0,67,96,90,0,0,40,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,62,14,84,0,0,51,0,0,0,0,0,0,0,0,0,0,79,0,0,1,0,28,23,3,30,83,0,0,65,0,0,0,0,0,53,70,0,57,55,16,8,0,4,0,0,0,89,0,0,0,0,0,0,0,27,0,37,0,0,91,0,0,87,0,0,13,17,0,0,0,49,0,100,12,0,0,0,93,78,0,0,99,0,6,0,48,0,26,76,0,80,29,52,0,82,25,0,0,61,0,0,0,0,19,0,88,35,69,94,0,0,72,0,0,0,0,44,0,0,0,54,97,0,0,39,0,0,0,0,0,0,0,0,63,0,0,0,11,50,7,58,59,0,0,0,0,0,0,0,0,0,74,92,0,0,0,98,0,0,0,0,0,2,0,77,85,0,0,0,56,0,0,0,0,0,10,95,0
2000,36,0,20,0,72,0,0,0,0,0,48,21,57,0,0,53,83,0,0,81,0,0,0,86,0,0,74,0,0,0,31,16,0,0,0,76,0,0,34,35,0,0,0,0,0,10,0,24,0,0,0,44,33,0,42,0,0,0,0,0,23,88,0,0,0,0,0,0,0,5,0,0,43,0,66,0,0,0,0,0,0,61,0,0,0,37,0,0,45,0,0,65,0,96,0,0,32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,56,6,71,0,0,52,0,0,0,0,0,0,0,0,0,0,67,0,0,1,0,28,22,3,29,97,0,0,63,0,0,0,0,0,49,68,0,58,59,18,7,0,4,0,0,0,73,93,0,0,0,0,0,92,27,0,39,0,0,98,0,0,80,0,0,13,19,0,0,0,46,0,90,11,0,0,0,95,87,0,0,85,0,9,0,38,0,30,82,0,77,26,54,0,69,25,0,0,64,0,0,0,0,14,0,91,47,70,0,0,0,79,0,0,0,0,40,0,0,0,50,0,0,0,41,0,0,0,0,0,0,0,0,78,0,0,0,15,55,8,62,60,0,0,0,0,0,0,0,0,0,94,0,0,0,0,89,0,0,0,0,0,2,0,75,84,0,0,0,51,0,0,0,0,0,12,99,0
2001,40,0,16,0,80,0,0,0,0,0,45,20,54,0,0,56,98,0,0,60,0,0,0,95,0,0,87,0,0,0,31,14,0,0,0,78,0,0,36,38,0,0,0,0,0,15,0,23,0,0,0,50,32,0,48,0,0,0,0,0,25,93,0,0,0,0,0,0,0,5,0,0,46,0,81,0,0,0,0,0,0,70,0,0,0,27,0,0,44,0,0,68,0,91,0,0,21,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,49,6,61,0,0,53,0,0,0,0,0,0,0,0,0,0,75,0,0,1,0,28,19,4,30,92,0,0,59,0,0,0,0,0,51,62,0,58,66,26,8,90,3,0,0,0,64,96,0,0,0,0,0,72,34,0,42,0,0,0,0,0,74,0,0,10,24,0,0,0,39,0,79,11,0,0,0,83,97,0,0,85,0,9,0,35,0,33,88,0,73,22,57,0,69,29,0,0,82,0,0,0,0,12,0,77,37,76,0,0,0,86,0,0,0,0,43,0,0,0,52,0,0,0,47,0,0,0,0,0,0,0,0,100,0,0,0,18,55,7,71,67,0,0,0,0,0,0,0,0,0,99,0,0,0,0,65,0,0,0,0,0,2,0,63,89,0,0,0,41,0,0,0,0,0,13,94,0
2002,36,0,17,0,67,0,0,0,0,0,42,19,49,0,0,66,93,0,0,55,0,0,0,95,0,0,78,0,0,0,21,6,0,0,0,81,0,0,39,37,0,0,0,0,0,16,0,27,0,0,0,48,29,0,56,0,0,0,0,0,26,0,0,0,0,0,0,0,0,5,0,0,47,0,89,0,0,0,0,0,0,75,0,0,0,28,0,0,46,0,0,76,0,83,0,0,18,0,86,0,0,77,91,0,0,0,0,0,0,0,99,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,52,11,45,0,0,51,0,0,0,0,0,0,0,0,0,0,63,0,0,1,0,30,25,4,32,94,0,0,62,0,0,0,0,0,54,69,0,64,80,43,8,84,2,0,0,0,59,0,0,0,0,0,0,68,34,100,40,0,0,0,0,88,73,0,0,14,23,0,0,0,41,0,72,13,0,0,0,92,0,0,0,85,0,12,0,33,0,35,0,0,65,22,60,0,61,24,0,0,87,0,0,0,0,10,0,70,31,82,0,0,0,97,0,0,0,0,44,0,0,0,53,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,20,57,7,79,74,96,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,3,0,58,90,0,0,0,38,0,0,0,0,0,9,98,0
2003,43,0,18,0,72,0,0,0,0,0,42,20,17,0,0,75,96,0,0,50,0,0,0,0,0,0,80,0,0,0,26,7,0,0,0,84,0,0,44,40,0,0,0,0,0,19,0,23,0,0,0,48,24,0,59,0,0,0,0,0,25,0,99,0,0,0,0,0,0,5,0,0,49,0,92,0,0,0,0,0,0,71,0,0,0,28,0,0,45,0,0,78,0,85,0,0,15,0,95,0,0,68,83,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,47,11,36,0,0,53,0,0,0,0,0,0,0,0,0,0,64,0,0,1,0,27,31,4,32,0,0,0,65,0,0,0,0,0,55,69,0,66,79,54,10,93,2,97,0,0,56,0,0,0,0,0,0,57,37,0,39,0,0,0,0,77,74,0,0,13,29,0,86,0,41,98,73,14,0,0,0,100,0,0,0,87,0,12,0,34,0,38,0,0,70,21,58,0,61,30,0,0,91,0,94,0,0,6,0,62,33,81,0,0,0,0,0,0,0,0,46,0,0,0,52,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,22,63,8,82,67,88,0,0,0,0,0,0,90,0,0,0,0,0,0,76,0,0,0,0,0,3,0,51,89,0,0,0,35,0,0,0,0,0,9,0,0
2004,41,0,24,0,70,0,0,0,0,0,46,20,25,0,0,79,0,0,0,45,0,0,0,0,0,0,68,0,0,0,27,9,0,0,0,71,0,0,42,44,0,0,0,0,0,18,0,29,0,0,0,49,15,0,65,0,0,0,0,0,28,0,0,0,0,0,0,0,0,5,0,0,55,0,92,0,0,0,0,0,0,84,0,0,0,21,0,0,43,0,0,85,0,82,0,0,13,99,0,0,0,63,72,0,0,0,0,0,96,0,98,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,47,11,32,0,0,48,0,0,0,0,0,0,0,0,0,0,58,0,0,1,0,23,26,4,33,0,0,0,67,93,0,0,0,0,56,73,0,64,81,86,10,100,2,94,0,0,62,0,0,0,0,0,0,61,40,0,37,0,0,0,0,57,76,0,0,14,30,0,80,91,38,95,75,16,0,0,0,0,0,0,0,77,0,12,0,34,0,39,0,0,69,19,66,0,51,31,0,0,0,0,74,0,0,7,0,59,35,89,0,0,0,0,0,0,0,0,52,0,0,0,53,0,0,88,60,0,0,0,0,0,0,0,0,0,0,0,0,22,54,6,87,83,90,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,3,0,50,97,0,0,0,36,0,0,0,0,0,8,0,0
2005,45,0,26,0,78,0,0,0,0,0,53,22,23,0,0,88,0,0,0,38,0,0,0,0,0,0,62,0,0,0,32,11,0,0,0,71,0,0,39,47,0,0,0,0,0,14,0,34,0,0,0,49,12,0,76,0,0,0,0,0,30,0,91,0,0,0,0,0,0,6,0,0,61,0,0,0,0,0,0,0,0,86,0,0,0,24,0,0,46,0,0,82,0,87,0,0,18,97,90,0,0,57,64,0,0,0,0,0,79,98,96,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,70,0,40,9,27,0,0,44,0,0,0,0,0,0,0,0,0,0,54,0,0,1,0,21,16,4,33,0,0,0,81,84,0,0,0,0,65,69,0,72,93,0,10,0,2,0,0,0,66,0,0,0,0,0,0,63,50,0,41,0,0,0,0,37,75,0,0,19,28,0,77,0,43,83,58,13,0,0,0,0,0,0,0,60,0,15,0,31,0,42,0,0,68,20,80,0,52,35,0,0,0,0,51,0,0,5,0,55,36,92,0,0,0,0,0,0,0,0,56,0,0,0,59,0,0,74,73,0,0,0,0,0,0,0,0,0,0,0,0,25,67,7,99,94,89,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,3,0,48,0,0,0,0,29,0,0,0,0,0,8,95,100
2006,44,0,26,0,86,0,0,0,0,0,57,24,16,0,0,96,0,0,0,40,0,0,0,0,84,0,71,0,0,0,38,12,0,0,0,82,0,0,51,53,0,0,0,0,0,13,0,30,0,0,0,50,10,0,83,0,0,0,0,0,35,0,80,0,0,0,0,0,0,8,0,0,67,0,0,0,0,0,0,0,0,92,0,0,0,23,0,0,42,0,0,87,0,77,0,0,18,85,100,0,0,59,60,0,0,0,0,0,65,99,98,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,68,0,36,5,28,89,0,39,0,0,0,0,0,0,0,0,0,0,55,0,0,1,0,22,15,6,31,0,0,0,90,66,0,0,0,0,78,74,0,73,0,0,11,0,3,0,0,0,63,0,0,0,0,0,0,69,58,0,45,0,0,0,0,33,76,0,0,21,32,0,61,0,54,81,48,17,0,0,0,0,0,0,0,62,0,19,0,29,0,41,0,0,70,20,88,0,43,37,0,0,0,0,47,0,0,4,0,46,34,0,0,0,0,0,0,0,0,0,56,0,0,97,49,0,0,64,75,0,0,0,0,0,0,0,0,0,0,0,0,25,72,9,0,95,94,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,91,0,2,0,52,0,0,0,0,27,0,0,0,0,0,7,93,0
2007,49,0,26,0,78,0,0,0,0,0,58,22,10,0,0,99,0,0,0,33,0,0,0,0,79,0,70,0,0,0,48,14,0,0,0,89,0,0,68,66,0,0,0,0,0,23,0,34,0,0,0,54,7,0,86,0,0,0,0,0,37,0,93,0,0,0,0,0,0,6,0,0,63,0,0,0,0,0,0,0,0,98,0,0,0,19,0,0,40,0,0,91,0,83,0,0,15,81,0,0,0,59,46,0,0,0,0,0,64,100,92,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,69,0,30,5,29,77,0,35,0,0,0,0,0,0,0,0,0,0,42,0,0,1,0,20,18,9,36,0,0,0,95,32,0,0,0,0,85,80,0,75,0,0,13,0,4,0,0,0,62,0,0,0,0,0,0,67,61,0,51,0,0,0,0,43,74,0,0,16,27,0,53,96,60,72,39,21,0,0,0,0,0,0,0,55,0,24,0,31,0,47,0,0,71,17,94,0,38,44,0,0,0,0,50,0,0,3,0,41,45,0,0,0,0,0,0,0,0,0,65,0,0,88,56,0,0,57,84,0,0,0,0,0,0,0,0,0,0,0,0,25,76,11,0,97,87,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,73,0,2,0,52,0,0,0,0,28,0,0,0,0,0,8,82,0
2008,55,0,32,0,91,0,0,0,0,0,47,19,6,0,0,0,0,0,0,31,0,0,0,0,75,0,76,0,0,0,57,18,0,0,0,98,92,0,81,70,0,0,0,0,0,27,0,46,0,0,0,56,7,0,94,0,0,0,0,0,41,0,86,0,0,0,0,0,0,8,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,42,0,0,82,0,89,0,0,15,80,95,0,0,60,43,0,0,0,0,0,61,0,78,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,63,0,35,4,34,71,0,38,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,20,23,9,51,0,0,0,96,29,0,0,0,0,85,88,0,83,0,0,13,0,5,0,0,0,68,0,0,0,0,0,0,67,73,0,69,0,0,0,0,40,62,0,0,14,22,0,44,93,59,74,36,25,0,0,0,0,0,0,0,53,0,28,0,24,0,52,0,0,65,16,97,0,37,50,0,0,0,0,45,0,0,2,0,30,48,0,0,0,0,0,0,0,0,0,66,0,0,87,49,0,0,33,90,0,0,0,0,0,0,0,0,0,0,0,0,21,79,11,0,99,77,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,58,0,3,0,54,0,0,0,0,26,0,0,0,0,0,10,72,100
2009,54,0,34,0,78,73,0,0,0,0,50,22,4,0,0,0,0,0,0,20,0,0,93,0,69,100,81,0,0,0,65,15,0,0,0,0,0,0,90,82,0,0,0,0,0,28,0,52,0,0,0,58,7,0,94,0,0,0,0,0,46,0,0,0,0,0,0,0,0,10,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,44,0,0,87,0,85,0,0,13,70,95,0,0,61,43,0,0,0,0,0,53,96,75,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,56,0,42,3,39,77,0,37,0,0,0,0,0,0,0,0,0,0,41,0,0,2,0,18,27,9,48,0,0,0,0,26,0,0,0,0,92,80,0,83,0,0,14,0,5,98,0,0,68,0,0,0,0,0,0,71,86,0,74,0,0,0,0,40,60,0,0,21,24,0,35,84,66,72,17,33,0,0,0,0,0,0,0,45,0,38,0,25,0,51,0,0,62,16,97,0,36,49,0,0,0,0,32,0,0,1,0,23,47,0,0,0,0,0,0,0,0,0,76,0,0,79,59,0,0,29,91,0,0,0,0,0,0,0,0,0,0,0,0,30,88,12,0,0,63,0,0,0,0,0,0,0,99,0,0,0,0,0,89,0,0,0,55,0,6,0,57,0,0,0,0,31,0,0,0,0,0,8,67,0
2010,55,0,39,0,91,66,0,0,0,0,52,21,4,0,0,0,0,0,0,24,0,0,82,0,77,0,79,0,0,0,73,22,0,0,0,0,0,83,100,92,0,0,0,0,87,40,0,61,0,0,0,62,5,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,11,0,0,64,0,0,0,0,0,0,0,98,0,0,0,0,16,0,0,43,0,0,85,0,0,0,0,13,76,0,0,0,68,35,0,0,0,0,0,45,95,78,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,57,0,42,3,47,80,0,34,0,0,0,0,0,0,0,0,0,0,37,0,0,2,0,12,29,10,49,0,0,0,0,26,0,96,0,0,0,81,0,94,0,0,15,0,8,86,0,0,56,0,0,99,0,0,0,72,89,0,74,0,0,0,0,36,60,0,0,27,33,0,28,75,69,70,19,38,0,0,0,0,0,0,0,46,0,41,0,23,0,53,0,0,67,17,0,0,31,48,0,0,0,0,18,0,0,1,63,20,59,0,0,0,0,0,0,0,0,0,84,0,0,71,65,0,0,25,90,0,0,0,0,0,0,0,0,0,0,0,0,30,93,14,0,0,58,0,0,0,0,0,0,0,88,0,0,0,0,0,97,0,0,0,50,0,6,0,54,0,0,0,0,32,0,0,0,0,0,7,51,0
2011,58,0,38,0,0,61,0,0,0,0,59,23,4,0,0,0,0,0,0,24,0,0,68,0,87,0,90,0,0,0,97,25,0,0,0,0,79,76,0,0,0,0,0,0,89,46,0,77,0,0,0,60,5,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,14,0,0,57,0,0,0,0,0,0,0,78,0,0,0,0,21,0,0,40,0,91,85,0,0,0,0,11,82,0,0,0,66,34,0,0,0,84,0,42,96,75,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,55,0,37,1,52,86,0,28,0,0,0,0,0,0,0,0,0,0,33,0,0,3,99,7,29,8,49,0,0,0,0,32,0,67,0,0,0,88,0,100,0,0,18,0,9,83,0,0,56,0,0,94,0,0,0,81,0,0,95,0,0,0,0,27,62,0,0,39,44,0,30,74,69,64,26,41,0,0,0,0,0,0,0,35,0,43,0,20,0,53,0,0,63,19,0,0,22,54,0,0,0,0,16,0,0,2,73,17,71,0,0,0,0,0,0,0,0,0,98,0,0,72,70,0,0,13,93,0,0,0,0,0,0,0,0,0,0,0,0,36,0,15,0,0,47,0,0,0,0,0,0,0,80,0,0,0,0,0,92,0,0,0,50,0,6,0,51,0,65,0,0,31,0,0,0,0,0,10,45,0
2012,69,0,39,0,0,80,0,0,0,0,65,27,7,0,0,0,0,0,0,23,0,0,52,0,0,0,98,0,0,0,0,32,0,0,0,0,66,57,0,0,0,0,0,0,85,51,0,77,0,0,0,62,4,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,16,0,0,59,0,0,0,0,0,0,0,70,0,0,0,0,28,0,0,36,0,82,75,95,100,0,0,13,86,0,0,0,83,34,0,0,0,67,0,38,87,76,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,46,0,35,1,48,0,0,24,0,0,0,0,0,88,0,0,0,0,30,0,0,3,0,5,33,10,64,0,0,0,0,37,0,54,0,0,0,0,0,0,0,0,22,0,11,71,0,0,63,0,0,92,0,0,0,89,0,0,94,0,0,0,0,20,72,0,0,43,50,0,29,79,81,61,25,45,0,0,0,0,0,0,0,31,0,47,0,18,0,53,0,0,60,26,0,0,19,56,0,0,0,0,14,0,0,2,73,17,78,0,0,0,0,0,0,0,0,0,0,0,0,68,84,0,0,8,96,0,0,0,0,0,0,0,99,0,0,0,0,42,0,15,0,0,41,91,0,0,0,0,90,0,74,0,0,0,0,0,93,0,0,0,44,97,6,0,49,0,55,0,0,21,0,0,0,0,0,9,40,0
2013,81,0,40,0,0,92,0,99,0,0,65,24,11,0,0,0,0,0,0,16,0,0,43,0,0,94,0,0,0,0,0,30,0,0,0,0,56,59,0,0,0,0,0,0,88,73,0,93,0,0,0,61,5,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,22,0,0,50,0,0,0,0,0,0,0,63,0,0,0,0,31,0,0,33,0,69,76,84,0,0,0,14,83,0,0,91,87,34,0,0,0,62,0,35,82,79,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,49,0,36,3,48,0,0,18,0,0,0,0,0,74,0,0,0,89,29,0,0,2,0,4,32,9,68,0,0,0,0,42,0,58,0,0,0,0,0,0,0,0,19,0,12,72,0,0,64,0,0,0,0,0,0,95,0,0,0,0,0,0,0,17,75,0,0,46,67,0,28,71,77,60,26,45,0,0,0,0,0,0,0,27,0,47,0,25,0,53,0,0,57,23,0,0,15,55,0,0,0,0,13,0,0,1,80,7,85,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,21,98,0,0,0,0,0,0,90,96,0,0,0,0,51,0,20,0,0,38,97,0,0,0,0,100,0,70,0,0,0,0,0,0,86,0,0,41,78,6,0,44,0,52,0,0,37,0,0,0,0,0,8,39,0
2014,80,0,39,0,0,0,0,84,0,0,75,22,12,0,0,0,0,0,0,17,0,0,41,0,0,89,0,0,0,0,0,28,0,0,0,0,57,71,0,0,0,0,0,0,93,82,0,0,0,0,0,63,5,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,24,0,0,50,0,0,0,0,0,0,0,73,0,0,0,0,34,0,0,31,0,53,83,72,94,0,0,18,0,0,0,98,99,36,0,0,0,64,0,20,81,78,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,45,0,32,3,48,0,0,15,0,0,0,0,0,70,0,0,0,91,25,0,0,2,100,4,33,9,88,0,0,0,0,43,0,61,0,0,0,0,97,0,0,0,19,0,13,65,0,0,77,0,0,0,0,0,0,54,0,0,0,0,0,0,0,16,85,0,0,46,76,0,23,67,68,58,30,44,0,0,0,0,0,0,0,29,0,49,0,26,0,52,0,0,56,27,0,0,14,62,0,0,0,0,11,0,0,1,74,8,92,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,35,96,0,0,0,0,0,0,86,87,0,0,0,0,69,0,21,0,0,38,90,0,0,0,0,95,0,60,0,0,0,0,0,0,66,0,0,37,59,6,0,42,0,55,0,0,47,0,0,0,0,0,10,40,0
2015,87,0,38,0,0,0,0,72,0,0,75,22,14,0,0,0,0,0,0,19,0,0,37,0,0,89,0,0,0,0,0,30,0,0,0,0,62,67,0,0,0,0,0,0,99,83,0,0,0,94,0,66,6,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,24,0,0,43,0,0,0,0,0,0,0,79,0,0,0,0,39,0,0,26,0,46,73,71,90,0,0,18,0,0,0,95,0,36,0,0,0,57,0,17,76,65,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,52,0,32,3,50,0,0,13,0,0,0,0,0,55,0,0,0,96,20,0,0,2,82,5,34,11,91,0,0,80,0,49,0,48,0,0,0,0,0,0,0,0,21,0,16,61,0,0,86,0,0,0,0,0,0,98,0,0,0,0,0,0,0,15,85,0,0,56,81,0,25,63,78,53,27,58,0,0,0,0,0,0,0,31,0,47,0,28,0,54,0,0,68,29,0,0,12,64,0,0,0,0,7,0,0,1,77,10,0,0,0,0,0,0,0,0,0,0,0,91,0,51,0,0,0,40,0,0,0,0,0,88,0,83,74,0,0,0,0,69,0,23,0,0,35,93,0,0,0,0,97,0,59,0,0,0,0,0,0,42,0,0,33,45,9,0,44,0,60,0,0,70,0,0,0,0,0,8,41,0
